pair,cnn_acc_mean,cnn_acc_std,cnn_acc_ci_lower,cnn_acc_ci_upper,cnn_f1_mean,cnn_f1_std,cnn_f1_ci_lower,cnn_f1_ci_upper,fair_acc_mean,fair_acc_std,fair_acc_ci_lower,fair_acc_ci_upper,fair_f1_mean,fair_f1_std,fair_f1_ci_lower,fair_f1_ci_upper,qnn_acc_mean,qnn_acc_std,qnn_acc_ci_lower,qnn_acc_ci_upper,qnn_f1_mean,qnn_f1_std,qnn_f1_ci_lower,qnn_f1_ci_upper,cnn_time_mean,cnn_time_std,cnn_time_ci_lower,cnn_time_ci_upper,fair_time_mean,fair_time_std,fair_time_ci_lower,fair_time_ci_upper,qnn_time_mean,qnn_time_std,qnn_time_ci_lower,qnn_time_ci_upper,majority_baseline,random_baseline,qnn_vs_fair_pvalue,qnn_vs_fair_test,qnn_vs_fair_corrected_p,significant_05
conochilus_vs_fragilaria,0.9666666666666666,0.020942695414584794,0.9526315789473683,0.9842105263157894,0.9665218950998703,0.02103105114024297,0.9523684029404352,0.9841874068013997,0.5350877192982456,0.035087719298245626,0.5035087719298246,0.5543859649122808,0.39793195103938567,0.040413214117024567,0.36633934186056966,0.42952456021820173,0.6508771929824562,0.1010486719497137,0.5754385964912281,0.7263157894736842,0.5823930675000326,0.18213273644908354,0.4340602620940565,0.7187913797798264,1.7408544063568114,0.22618316752528891,1.5721814155578613,1.9095273971557618,0.5476233482360839,0.1177176847679316,0.44000849723815916,0.6096709728240967,105.64025492668152,0.20190484059149358,105.46711378097534,105.77763385772705,0.5368421052631579,0.5,0.07784149359934311,paired_ttest,1.0,False
conochilus_vs_keratella_cochlearis,0.9840701754385964,0.005805930888946821,0.9788771929824561,0.9866666666666667,0.980904280904281,0.0072061834772720835,0.9744588744588745,0.9841269841269842,0.6888070175438596,0.03497006590482069,0.6568070175438597,0.7066666666666667,0.4518973979579977,0.08640690814597106,0.4121366279069768,0.5294930659670165,0.702140350877193,0.006359981842476176,0.6968070175438597,0.7066666666666667,0.41249780641518646,0.0021992870824033488,0.41065233397424156,0.4140625,1.8495667457580567,0.3167002623299616,1.5635113716125488,2.041458511352539,0.5805475234985351,0.04807275771326279,0.5384659767150879,0.608350419998169,105.98991556167603,0.13404179388412432,105.8929413318634,106.10439291000367,0.702140350877193,0.5,0.373900966300059,paired_ttest,1.0,False
conochilus_vs_trichocerca,0.9691934279312922,0.012494173650414655,0.9596153846153845,0.9787714712471993,0.9691545058009388,0.012523577187667152,0.9595389462636567,0.978748676043176,0.5028566094100075,0.042146929278956705,0.47203136669156087,0.537471994025392,0.3676068831040432,0.0631986167160433,0.3315682111485783,0.42465881946802175,0.5355489171023151,0.07751449717342788,0.495108289768484,0.6057692307692308,0.4054281097701084,0.14328691734784507,0.3332667249490029,0.5346051720065502,1.7846983909606933,0.3675696784319936,1.4550452709197998,1.9946925163269043,0.4828969955444336,0.1496452707691851,0.3724565029144287,0.5947343826293945,38.2718994140625,37.70214027242446,21.370823001861574,71.99943413734437,0.5086631814787154,0.5,0.4478861671803247,paired_ttest,1.0,False
cyclops_vs_kellicottia,0.8296028880866425,0.027422568974488002,0.8057761732851987,0.8490974729241877,0.8212998565350731,0.02804643251499218,0.7964421141794025,0.8411428559288401,0.616606498194946,0.019839179298244154,0.5985559566787003,0.6267148014440433,0.39588594279527467,0.024828018692057526,0.3844444444444444,0.4182229922192806,0.6245487364620939,0.002552732062045295,0.6223826714801444,0.6267148014440433,0.38444322852623136,0.0009672584485065525,0.38362187577332346,0.3852633653609263,1.6819822788238525,0.41897449352122274,1.3704407691955567,1.989659833908081,0.6004562854766846,0.02053397704021939,0.5845505237579346,0.6165915489196777,105.89570298194886,0.3713248979997905,105.61696038246154,106.17444558143616,0.6252707581227437,0.5,0.4212964867900255,paired_ttest,1.0,False
daphnia_vs_kellicottia,0.903225806451613,0.02949342507727375,0.8766129032258064,0.9185483870967742,0.901228987153058,0.029831334633619876,0.8744269085057272,0.9163605489780636,0.5620967741935484,0.03946672355884568,0.5266129032258065,0.582258064516129,0.3883172564503206,0.0478373503132908,0.3657222748171495,0.4312386340674884,0.5814516129032258,0.0018032806270159578,0.5806451612903226,0.5830645161290324,0.3676688996209171,0.0007199263364230526,0.3673469387755102,0.3683128213117309,1.8809729099273682,0.23970957651957903,1.6662582874298095,1.9929800510406495,0.6052618980407715,0.016350315603856105,0.5916888630390169,0.6170812129974366,105.67638144493102,0.21968991686359857,105.51246771812438,105.84080009460449,0.5814516129032258,0.5,0.3285493970418105,paired_ttest,1.0,False
daphnia_vs_rotifers,0.9679180887372013,0.015186754581083282,0.9556313993174061,0.9781569965870307,0.9678991685310591,0.015192701656727453,0.9556211395459634,0.9781531623025093,0.6109215017064846,0.15314689519579913,0.5030716723549488,0.7453924914675769,0.5552628503378718,0.17282921523587214,0.45564190389453413,0.7061088685008768,0.8156996587030717,0.10455613434839858,0.7208191126279864,0.8771331058020477,0.8036053042809697,0.12597360638646155,0.6890748401140901,0.8762817751457377,1.8268894672393798,0.23043433641274466,1.6228768348693847,1.984406328201294,0.5983714103698731,0.013889920349742096,0.5886491775512696,0.6108030796051025,105.6787829875946,0.23247101324904373,105.47044324874878,105.80245313644409,0.5078498293515358,0.5,0.01727477361379886,paired_ttest,0.362770245889776,False
dinobryon_vs_nauplius,0.7806575912635835,0.05708787505023283,0.7299775796779626,0.8226865767708299,0.676134190888753,0.15411489398234585,0.5361829786434686,0.7663045786227254,0.6105568607258177,0.17273821470949668,0.45602334288074325,0.6880695995451571,0.38619686798321623,0.04766977149881779,0.34354863485784765,0.4076073341619713,0.687862560207683,0.00046804268447035296,0.6875130606421438,0.6882120597732222,0.40753466242232567,0.00016429634837269132,0.4074119769364321,0.4076573479082192,1.7773768901824951,0.4956150432572509,1.3332947731018066,2.003864049911499,0.5991851329803467,0.010182485583420909,0.5922232627868652,0.6073196411132813,105.9463119983673,0.2562030360910685,105.77036089897156,106.15976114273072,0.687862560207683,0.5,0.373900966300059,paired_ttest,1.0,False
eudiaptomus_vs_kellicottia,0.8740588393096665,0.014768973994174294,0.8636322990253064,0.8872037914691944,0.8739210602133479,0.01474722695260619,0.8635347019699868,0.8870806505073882,0.5331440579450952,0.032577627503107456,0.508499508182062,0.5582938388625592,0.4393387335430875,0.09527985420808861,0.3673075594388406,0.5113699076473341,0.51610033085934,0.015026664259455697,0.5047259232764016,0.5279620853080568,0.37378834784510834,0.05366514718978476,0.3371189480244602,0.4208053343285879,1.7311253070831298,0.24681979443239488,1.5282748222351075,1.9172645568847657,0.5539376258850097,0.1052787675895403,0.45889692306518554,0.6073362827301025,71.94247946739196,46.19969822594696,38.157109308242795,105.72784962654114,0.5085218635428775,0.5,0.1637774442460355,paired_ttest,1.0,False
eudiaptomus_vs_uroglena,0.9932885906040267,0.0033557046979865723,0.9906040268456376,0.9959731543624161,0.9927202376991658,0.003646539879845296,0.9898033344090731,0.9956371409892586,0.6657718120805368,0.057469810806128084,0.6382550335570469,0.7174496644295302,0.4533757195664541,0.13168927786001863,0.38959401924301856,0.572775740087649,0.9550335570469798,0.03099261715172839,0.9302013422818792,0.9778523489932885,0.9490760855347238,0.03631164508994391,0.9196242544265649,0.9755935982034968,1.3627217292785645,0.12285755000426724,1.2796924114227295,1.4613896369934083,0.5980780124664307,0.01930378058712453,0.58317551612854,0.6129805088043213,105.8018692970276,0.2563912565937699,105.65601320266724,106.0358775138855,0.6395973154362415,0.5,0.00022397012004767524,paired_ttest,0.005599253001191881,True
fragilaria_vs_keratella_cochlearis,0.7677854274239817,0.049815751377495235,0.7314400458978773,0.8071428571428572,0.5925811316978326,0.17538560399909167,0.45255239606564873,0.7303876451077943,0.6477337923121056,0.18705504963287495,0.4801778542742398,0.7344520940906485,0.4005801935501413,0.04884915306651159,0.3568119604856206,0.42344538917755736,0.7320711417096961,0.005520691122753256,0.7279403327596098,0.736201950659782,0.422651813362725,0.0018414362690330817,0.42127394636015325,0.4240296803652968,1.3023818492889405,0.5028594230672447,0.9157181739807129,1.6977043151855469,0.5853339672088623,0.06530131957537039,0.5256729125976562,0.6276696681976318,106.86917991638184,1.49441843601466,105.72265610694885,108.01570372581482,0.7320711417096961,0.5,0.373900966300059,paired_ttest,1.0,False
keratella_quadrata_vs_paradileptus,0.8139546351084812,0.024169030416751613,0.7971400394477317,0.8340729783037476,0.8137413150306436,0.024187773060745193,0.7969704041455737,0.8338497903703329,0.5284023668639053,0.04032795079618637,0.4982248520710059,0.5585798816568047,0.410918497023545,0.07238890801171517,0.3584125016415419,0.47105355370683116,0.6090236686390533,0.03156993278642657,0.58698224852071,0.6350591715976331,0.5441272912721006,0.059131331104084375,0.5022245408090912,0.5921594782378695,1.5853972434997559,0.25966242884595614,1.4049678802490235,1.7989361763000489,0.6481385231018066,0.20780961511462434,0.4844149112701416,0.7910613536834716,108.52036309242249,0.11674031470771933,108.42839131355285,108.60626411437988,0.5023668639053255,0.5,0.00444509103309107,paired_ttest,0.10668218479418567,False
keratella_quadrata_vs_rotifers,0.8341793695426964,0.025067579208444588,0.8159982240639337,0.8541162868136741,0.8161296804557401,0.02431481387899853,0.798269133169865,0.834794658403892,0.6314488678407578,0.01711384178969191,0.6159982240639338,0.6394849785407726,0.39436749047908415,0.009975568864180037,0.38970515293469277,0.4033449624816171,0.6391741897291698,0.0006949449093901918,0.6385526121059643,0.6394849785407726,0.38993662165885923,0.00025878990095062844,0.38970515293469277,0.3900523560209424,1.8678953170776367,0.21199224897023558,1.6748867988586427,1.9959222316741942,0.6690269470214844,0.09091804726670505,0.6247043132781982,0.7515346050262451,108.76618161201478,0.15561540894583947,108.64908542633057,108.87840938568115,0.6391741897291698,0.5,0.373900966300059,paired_ttest,1.0,False
keratella_quadrata_vs_uroglena,0.975965494359655,0.007545803479155398,0.9701393497013935,0.9817916390179164,0.9712622737806959,0.009401684810203278,0.9639726712046259,0.9785518763567657,0.695559389515594,0.002930450167072438,0.6938765759787658,0.6982561380225614,0.41681139336691386,0.01573671374798043,0.40963815302649104,0.43092478243905746,0.7196443264764433,0.0547425954496781,0.6940995355009953,0.7688334439283344,0.47699961873177343,0.1433582299345435,0.4097158502293918,0.6063533015630544,1.6429566860198974,0.2936525867562237,1.4188615798950195,1.8670517921447753,0.6167578220367431,0.012776289459883962,0.6073080539703369,0.6272168159484863,108.63807735443115,0.1851934812190331,108.49641528129578,108.77671256065369,0.6940995355009955,0.5,0.35758669696366124,paired_ttest,1.0,False
leptodora_vs_paradileptus,0.9090920634920636,0.02916589330580365,0.8849396825396825,0.9313523809523808,0.8942615937844536,0.031265912339787455,0.868248534445021,0.9188279241186217,0.7322031746031746,0.06903313695963903,0.6815238095238096,0.7893206349206349,0.5567751623936491,0.18129556763962182,0.41840933553018866,0.6978370318458326,0.67624126984127,0.003592046307360926,0.6735619047619048,0.678920634920635,0.40342497778267294,0.0012781014388229968,0.40247171137667526,0.4043782441886707,1.7895906448364258,0.40122411637797534,1.4272428035736084,1.9917989253997803,0.6717900276184082,0.11376249674594831,0.6113886833190918,0.7740724086761475,108.67420749664306,0.18020393388621966,108.5411054134369,108.82323689460755,0.67624126984127,0.5,0.149335916026232,paired_ttest,1.0,False
maybe_cyano_vs_nauplius,0.8676467201939101,0.02958698652786953,0.8446502045144676,0.8895470383275261,0.8665657091892192,0.03130718331304656,0.8415725400866257,0.8894528276729956,0.5631910316618695,0.07335199701382893,0.5083623693379791,0.6180196939857597,0.46192688288222217,0.15925045692814785,0.34321638477772765,0.5802454523846118,0.530824420542342,0.006077545117045702,0.5264808362369338,0.536050901378579,0.36012526877855916,0.017006047863589953,0.3489962502197412,0.3738608498735469,2.0009581089019775,0.009919911027155191,1.9923704624176026,2.007090616226196,0.5432717323303222,0.12848061408856176,0.4281603813171387,0.6250898361206054,106.52870631217957,5.055237006041598,101.99517640113831,108.87092151641846,0.5249041054385699,0.5,0.347090573612695,paired_ttest,1.0,False
