fold,n_train,n_test,cnn_time,cnn_acc,cnn_f1,fair_time,fair_acc,fair_f1,qnn_time,qnn_acc,qnn_f1,majority_baseline,random_baseline,class_a,class_b,repeat
3,200,401,1.6581876277923584,0.9925187032418953,0.9925035986465349,0.6145648956298828,0.41895261845386533,0.2952548330404218,106.09367847442627,0.7032418952618454,0.6633746481655227,0.5261845386533666,0.5,asterionella,uroglena,0
4,200,401,1.9675180912017822,0.9800498753117207,0.9799590184417012,0.581195592880249,0.49875311720698257,0.37227124399342687,105.49747061729431,0.9251870324189526,0.9244726268206931,0.5261845386533666,0.5,asterionella,uroglena,0
0,173,44,1.3838393688201904,0.9545454545454546,0.9494252873563218,0.7559397220611572,0.6363636363636364,0.3888888888888889,93.33165264129639,0.8636363636363636,0.8362282878411911,0.6363636363636364,0.5,bosmina,brachionus,0
1,173,44,1.0449979305267334,0.9545454545454546,0.9494252873563218,0.6503880023956299,0.6363636363636364,0.3888888888888889,93.23393130302429,0.8863636363636364,0.8664238008500302,0.6363636363636364,0.5,bosmina,brachionus,0
2,174,43,1.6485381126403809,0.9534883720930233,0.9502314814814814,0.6448240280151367,0.6744186046511628,0.5081699346405228,93.26298213005066,0.7674418604651163,0.7243589743589745,0.627906976744186,0.5,bosmina,brachionus,0
3,174,43,1.113542079925537,0.9069767441860465,0.8940886699507389,0.6474683284759521,0.5348837209302325,0.34848484848484856,51.296223163604736,0.46511627906976744,0.4199413489736071,0.627906976744186,0.5,bosmina,brachionus,0
4,174,43,1.0926098823547363,0.9534883720930233,0.9488095238095238,0.5575027465820312,0.627906976744186,0.38571428571428573,93.0033848285675,0.813953488372093,0.7794871794871794,0.627906976744186,0.5,bosmina,brachionus,0
0,128,32,0.935100793838501,0.78125,0.7757757757757757,0.33540821075439453,0.40625,0.28888888888888886,14.101059198379517,0.5625,0.5465587044534412,0.5,0.5,bosmina,polyarthra,0
1,128,32,0.8807556629180908,0.90625,0.9054187192118226,0.35508084297180176,0.46875,0.3191489361702127,14.332055807113647,0.5,0.3333333333333333,0.5,0.5,bosmina,polyarthra,0
2,128,32,1.2559757232666016,0.84375,0.8398398398398398,0.36873841285705566,0.46875,0.3191489361702127,13.992662191390991,0.5,0.3333333333333333,0.5,0.5,bosmina,polyarthra,0
3,128,32,1.0553100109100342,0.875,0.8745098039215686,0.3589136600494385,0.5,0.3333333333333333,13.982712984085083,0.5,0.3333333333333333,0.5,0.5,bosmina,polyarthra,0
4,128,32,0.9391858577728271,0.96875,0.9687194525904204,0.35570287704467773,0.5,0.3333333333333333,14.001455068588257,0.5,0.3333333333333333,0.5,0.5,bosmina,polyarthra,0
0,200,56,1.9643828868865967,0.8571428571428571,0.8571428571428571,0.31438183784484863,0.5714285714285714,0.47500000000000003,21.687777757644653,0.5,0.4555555555555556,0.5,0.5,brachionus,synchaeta,0
1,200,56,1.9770488739013672,0.9107142857142857,0.910457307323313,0.340864896774292,0.6071428571428571,0.5354449472096531,105.40781855583191,0.6607142857142857,0.6606060606060606,0.5,0.5,brachionus,synchaeta,0
2,200,56,1.886716604232788,0.9464285714285714,0.9459980713596914,0.594728946685791,0.48214285714285715,0.3974025974025974,105.95300793647766,0.5178571428571429,0.42002301495972383,0.5178571428571429,0.5,brachionus,synchaeta,0
3,200,56,1.984891414642334,0.8928571428571429,0.8916129032258064,0.4191892147064209,0.48214285714285715,0.3253012048192771,21.63612723350525,0.48214285714285715,0.3253012048192771,0.5178571428571429,0.5,brachionus,synchaeta,0
4,200,55,1.988368272781372,0.9272727272727272,0.9272486772486772,0.6027097702026367,0.509090909090909,0.3373493975903614,21.31483244895935,0.4909090909090909,0.3292682926829268,0.509090909090909,0.5,brachionus,synchaeta,0
